country,parameter,posterior_draws,unique_values,mean,sd,coefficient_of_variation,q025,median,q975,varies_within_country,grid_override_in_fig3d,uncertainty_source
Sweden,reporting_trend_end_multiplier,100,1,1.0,0.0,0.0,1.0,1.0,1.0,False,False,conditional_beta_grid_posterior
Thailand,beta_S,100,86,0.011357974361326953,2.917468207114325e-05,0.002568651868988263,0.011309609972127701,0.011355242631009111,0.01141741721661572,True,False,conditional_beta_grid_posterior
Thailand,reporting_multiplier,100,1,0.9874993248397124,2.2316322462394835e-16,2.2598823007820434e-16,0.9874993248397121,0.9874993248397121,0.9874993248397121,False,False,conditional_beta_grid_posterior
Thailand,VE_sus,100,1,0.15,0.0,0.0,0.15,0.15,0.15,False,False,conditional_beta_grid_posterior
Thailand,VE_inf,100,1,0.25,0.0,0.0,0.25,0.25,0.25,False,True,conditional_beta_grid_posterior
Thailand,VE_dur,100,1,0.0,0.0,,0.0,0.0,0.0,False,False,conditional_beta_grid_posterior
Thailand,relative_infectiousness_asymptomatic,100,1,0.3500000000000001,5.579080615598709e-17,1.594023033028202e-16,0.35000000000000003,0.35000000000000003,0.35000000000000003,False,False,conditional_beta_grid_posterior
Thailand,infectious_duration_symptomatic,100,1,21.0,0.0,0.0,21.0,21.0,21.0,False,False,conditional_beta_grid_posterior
Thailand,infectious_duration_asymptomatic,100,1,13.999999999999998,1.785305796991587e-15,1.275218426422562e-16,13.999999999999996,13.999999999999996,13.999999999999996,False,False,conditional_beta_grid_posterior
Thailand,fitness_R,100,1,1.0,0.0,0.0,1.0,1.0,1.0,False,True,conditional_beta_grid_posterior
Thailand,resistance_prevalence,100,1,0.009999999999999998,1.7434626923745965e-18,1.7434626923745968e-16,0.01,0.01,0.01,False,False,conditional_beta_grid_posterior
Thailand,reporting_trend_end_multiplier,100,1,1.0,0.0,0.0,1.0,1.0,1.0,False,False,conditional_beta_grid_posterior
United_Kingdom,beta_S,100,92,0.01967097938319391,4.539033633568141e-06,0.00023074771952870371,0.019662198717068275,0.019671180309435488,0.019678660243976753,True,False,conditional_beta_grid_posterior
United_Kingdom,reporting_multiplier,100,1,0.9482053470999046,2.2316322462394835e-16,2.353532653095611e-16,0.9482053470999048,0.9482053470999048,0.9482053470999048,False,False,conditional_beta_grid_posterior
United_Kingdom,VE_sus,100,1,0.15,0.0,0.0,0.15,0.15,0.15,False,False,conditional_beta_grid_posterior
United_Kingdom,VE_inf,100,1,0.25,0.0,0.0,0.25,0.25,0.25,False,True,conditional_beta_grid_posterior
United_Kingdom,VE_dur,100,1,0.0,0.0,,0.0,0.0,0.0,False,False,conditional_beta_grid_posterior
United_Kingdom,relative_infectiousness_asymptomatic,100,1,0.3500000000000001,5.579080615598709e-17,1.594023033028202e-16,0.35000000000000003,0.35000000000000003,0.35000000000000003,False,False,conditional_beta_grid_posterior
United_Kingdom,infectious_duration_symptomatic,100,1,21.0,0.0,0.0,21.0,21.0,21.0,False,False,conditional_beta_grid_posterior
United_Kingdom,infectious_duration_asymptomatic,100,1,13.999999999999998,1.785305796991587e-15,1.275218426422562e-16,13.999999999999996,13.999999999999996,13.999999999999996,False,False,conditional_beta_grid_posterior
United_Kingdom,fitness_R,100,1,1.0,0.0,0.0,1.0,1.0,1.0,False,True,conditional_beta_grid_posterior
United_Kingdom,resistance_prevalence,100,1,0.003,0.0,0.0,0.003,0.003,0.003,False,False,conditional_beta_grid_posterior
United_Kingdom,reporting_trend_end_multiplier,100,1,1.0,0.0,0.0,1.0,1.0,1.0,False,False,conditional_beta_grid_posterior
United_States,beta_S,100,89,0.011917803689516749,1.5198297254212487e-05,0.0012752599094731992,0.011887863887506598,0.011917260795501376,0.011949194223577066,True,False,conditional_beta_grid_posterior
United_States,reporting_multiplier,100,1,1.0,0.0,0.0,1.0,1.0,1.0,False,False,conditional_beta_grid_posterior
United_States,VE_sus,100,1,0.15,0.0,0.0,0.15,0.15,0.15,False,False,conditional_beta_grid_posterior
United_States,VE_inf,100,1,0.25,0.0,0.0,0.25,0.25,0.25,False,True,conditional_beta_grid_posterior
United_States,VE_dur,100,1,0.0,0.0,,0.0,0.0,0.0,False,False,conditional_beta_grid_posterior
United_States,relative_infectiousness_asymptomatic,100,1,0.3500000000000001,5.579080615598709e-17,1.594023033028202e-16,0.35000000000000003,0.35000000000000003,0.35000000000000003,False,False,conditional_beta_grid_posterior
United_States,infectious_duration_symptomatic,100,1,21.0,0.0,0.0,21.0,21.0,21.0,False,False,conditional_beta_grid_posterior
United_States,infectious_duration_asymptomatic,100,1,13.999999999999998,1.785305796991587e-15,1.275218426422562e-16,13.999999999999996,13.999999999999996,13.999999999999996,False,False,conditional_beta_grid_posterior
United_States,fitness_R,100,1,1.0,0.0,0.0,1.0,1.0,1.0,False,True,conditional_beta_grid_posterior
United_States,resistance_prevalence,100,1,0.009999999999999998,1.7434626923745965e-18,1.7434626923745968e-16,0.01,0.01,0.01,False,False,conditional_beta_grid_posterior
United_States,reporting_trend_end_multiplier,100,1,1.0,0.0,0.0,1.0,1.0,1.0,False,False,conditional_beta_grid_posterior
