country,scenario,mechanism_label,mechanism_axis_label,metric,mechanism_y,mechanism_y_metric,reduction_vs_baseline,median_reduction_vs_baseline,q25_reduction_vs_baseline,q75_reduction_vs_baseline,resistant_infections_per_100k,baseline_resistant_infections_per_100k,child_adolescent_cases_per_100k,baseline_child_adolescent_cases_per_100k,end_resistant_fraction,resistant_importation,treatment_differential,pep_differential,fitness_R,interpretation
Brazil,equal_pep_effect,Equalise resistant-strain PEP effectiveness,"Equalise resistant-strain
PEP effectiveness",Resistant infections,3,3.18,0.9901909681867278,0.9698751457522258,0.858280433865626,0.9901909681867278,9.123241893628261,930.0858705834771,256.359064377459,465.8001911368474,0.02216398099813302,yes,yes,no,1,Tests PEP-mediated selection by making resistant PEP effectiveness equal to sensitive-strain PEP effectiveness.
Brazil,equal_pep_effect,Equalise resistant-strain PEP effectiveness,"Equalise resistant-strain
PEP effectiveness",Cases aged <18 years,3,2.82,0.4496372709685229,0.16431071303887856,0.14215289972238176,0.30218799086811476,9.123241893628261,930.0858705834771,256.359064377459,465.8001911368474,0.02216398099813302,yes,yes,no,1,Tests PEP-mediated selection by making resistant PEP effectiveness equal to sensitive-strain PEP effectiveness.
Brazil,no_treatment_or_pep_differential,Equalise treatment and PEP effects,"Equalise treatment
and PEP effects",Resistant infections,4,4.18,0.9911564648308898,0.9906354224847147,0.8849770871179714,0.99236614390735145,8.225247106797438,930.0858705834771,256.431314501254,465.8001911368474,0.01000000000000001,yes,no,no,1,Tests neutral strain competition under importation when treatment and PEP do not favor resistant strains.
Brazil,no_treatment_or_pep_differential,Equalise treatment and PEP effects,"Equalise treatment
and PEP effects",Cases aged <18 years,4,3.82,0.4494821612773511,0.1657367918483007,0.14251598854398473,0.3024461061595871,8.225247106797438,930.0858705834771,256.431314501254,465.8001911368474,0.01000000000000001,yes,no,no,1,Tests neutral strain competition under importation when treatment and PEP do not favor resistant strains.
Brazil,fitness_cost,Add resistant-strain fitness cost,"Add resistant-strain
fitness cost",Resistant infections,5,5.18,0.9841228164631733,0.4169485323151928,0.30383093533234806,0.699480191178295,14.767144072263026,930.0858705834771,250.5246276546275,465.8001911368474,0.00266223657993483,yes,yes,yes,0.85,Fitness-cost stress test retaining baseline importation and management assumptions.
Brazil,fitness_cost,Add resistant-strain fitness cost,"Add resistant-strain
fitness cost",Cases aged <18 years,5,4.82,0.46216289211219774,0.11085645682239265,0.03865101881148447,0.20019117390191699,14.767144072263026,930.0858705834771,250.5246276546275,465.8001911368474,0.00266223657993483,yes,yes,yes,0.85,Fitness-cost stress test retaining baseline importation and management assumptions.
Thailand,no_resistant_importation,Remove further resistant importation,"Remove further
resistant importation",Resistant infections,1,1.18,0.01754215414123317,0.01754215414123317,-0.08448648263685943,0.10447109674778432,1396.4784162797882,1421.4130633351763,492.7683135234259,500.45337136408864,0.9997420111890016,no,yes,yes,1,Tests dependence on ongoing resistant-strain importation after the analysis-start anchor.
Thailand,no_resistant_importation,Remove further resistant importation,"Remove further
resistant importation",Cases aged <18 years,1,0.8200000000000001,0.015356191566290311,-0.014008624361566469,-0.09030322123636969,0.01439029596632968,1396.4784162797882,1421.4130633351763,492.7683135234259,500.45337136408864,0.9997420111890016,no,yes,yes,1,Tests dependence on ongoing resistant-strain importation after the analysis-start anchor.
Thailand,equal_treatment_effect,Equalise treatment benefit,"Equalise treatment
benefit",Resistant infections,2,2.18,0.015280632558352658,-0.00854661164432935,-0.02329595589412503,0.021433640240093532,1399.692972600709,1421.4130633351763,492.2815039841621,500.45337136408864,0.9997296654761336,yes,no,yes,1,Tests treatment-mediated selection by making resistant treatment effects equal to sensitive-strain effects.
Thailand,equal_treatment_effect,Equalise treatment benefit,"Equalise treatment
benefit",Cases aged <18 years,2,1.82,0.01632892862256563,6.187263607371207e-5,-0.009611025572708876,0.01632892862256563,1399.692972600709,1421.4130633351763,492.2815039841621,500.45337136408864,0.9997296654761336,yes,no,yes,1,Tests treatment-mediated selection by making resistant treatment effects equal to sensitive-strain effects.
Thailand,equal_pep_effect,Equalise resistant-strain PEP effectiveness,"Equalise resistant-strain
PEP effectiveness",Resistant infections,3,3.18,0.9905346754722189,0.9698751457522258,0.858280433865626,0.9901909681867278,13.454135932494914,1421.4130633351763,217.07047849136885,500.45337136408864,0.03454799517859564,yes,yes,no,1,Tests PEP-mediated selection by making resistant PEP effectiveness equal to sensitive-strain PEP effectiveness.
Thailand,equal_pep_effect,Equalise resistant-strain PEP effectiveness,"Equalise resistant-strain
PEP effectiveness",Cases aged <18 years,3,2.82,0.5662523405533295,0.16431071303887856,0.14215289972238176,0.30218799086811476,13.454135932494914,1421.4130633351763,217.07047849136885,500.45337136408864,0.03454799517859564,yes,yes,no,1,Tests PEP-mediated selection by making resistant PEP effectiveness equal to sensitive-strain PEP effectiveness.
Thailand,no_treatment_or_pep_differential,Equalise treatment and PEP effects,"Equalise treatment
and PEP effects",Resistant infections,4,4.18,0.9951932092653676,0.9906354224847147,0.8849770871179714,0.99236614390735145,6.83243514292494,1421.4130633351763,216.9832039778864,500.45337136408864,0.01,yes,no,no,1,Tests neutral strain competition under importation when treatment and PEP do not favor resistant strains.
Thailand,no_treatment_or_pep_differential,Equalise treatment and PEP effects,"Equalise treatment
and PEP effects",Cases aged <18 years,4,3.82,0.5664267314526146,0.1657367918483007,0.14251598854398473,0.3024461061595871,6.83243514292494,1421.4130633351763,216.9832039778864,500.45337136408864,0.01,yes,no,no,1,Tests neutral strain competition under importation when treatment and PEP do not favor resistant strains.
Thailand,fitness_cost,Add resistant-strain fitness cost,"Add resistant-strain
fitness cost",Resistant infections,5,5.18,0.699480191178295,0.4169485323151928,0.30383093533234806,0.699480191178295,427.1627820501613,1421.4130633351763,256.61056151743094,500.45337136408864,0.985920149797584,yes,yes,yes,0.85,Fitness-cost stress test retaining baseline importation and management assumptions.
Thailand,fitness_cost,Add resistant-strain fitness cost,"Add resistant-strain
fitness cost",Cases aged <18 years,5,4.82,0.48724381490729884,0.11085645682239265,0.03865101881148447,0.20019117390191699,427.1627820501613,1421.4130633351763,256.61056151743094,500.45337136408864,0.985920149797584,yes,yes,yes,0.85,Fitness-cost stress test retaining baseline importation and management assumptions.
